"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","00 A 04","ALEMANIA",2018,5,"COQUIMBO","2","","","",2
"H","00 A 04","ALEMANIA",2018,6,"VALPARAÍSO","1","1","","1",2
"H","00 A 04","ALEMANIA",2018,7,"METROPOLITANA DE SANTIAGO","26","","","",26
"H","00 A 04","ALEMANIA",2018,9,"MAULE","1","","","",1
"H","00 A 04","ALEMANIA",2018,11,"BIOBÍO","2","","","",2
"H","00 A 04","ALEMANIA",2018,12,"LA ARAUCANÍA","2","","","",2
"H","00 A 04","ALEMANIA",2018,13,"LOS RÍOS","2","","","",2
"H","00 A 04","ALEMANIA",2018,14,"LOS LAGOS","","1","","1",1
"H","00 A 04","ALEMANIA",2018,17,"REGIÓN IGNORADA","","3","","3",3
"H","00 A 04","ALEMANIA",2019,5,"COQUIMBO","1","1","","1",2
"H","00 A 04","ALEMANIA",2019,6,"VALPARAÍSO","","1","","1",1
"H","00 A 04","ALEMANIA",2019,7,"METROPOLITANA DE SANTIAGO","19","3","","3",22
"H","00 A 04","ALEMANIA",2019,9,"MAULE","1","","","",1
"H","00 A 04","ALEMANIA",2019,11,"BIOBÍO","1","1","","1",2
"H","00 A 04","ALEMANIA",2019,12,"LA ARAUCANÍA","2","1","","1",3
"H","00 A 04","ALEMANIA",2019,13,"LOS RÍOS","2","","","",2
"H","00 A 04","ALEMANIA",2019,17,"REGIÓN IGNORADA","","1","","1",1
"H","00 A 04","ALEMANIA",2020,3,"ANTOFAGASTA","","1","","1",1
"H","00 A 04","ALEMANIA",2020,5,"COQUIMBO","1","","","",1
"H","00 A 04","ALEMANIA",2020,6,"VALPARAÍSO","","2","","2",2
"H","00 A 04","ALEMANIA",2020,7,"METROPOLITANA DE SANTIAGO","10","2","2","4",14
"H","00 A 04","ALEMANIA",2020,11,"BIOBÍO","","1","","1",1
"H","00 A 04","ALEMANIA",2020,12,"LA ARAUCANÍA","2","1","","1",3
"H","00 A 04","ALEMANIA",2021,3,"ANTOFAGASTA","","1","","1",1
"H","00 A 04","ALEMANIA",2021,4,"ATACAMA","","1","","1",1
"H","00 A 04","ALEMANIA",2021,7,"METROPOLITANA DE SANTIAGO","5","1","2","3",8
"H","00 A 04","ALEMANIA",2021,11,"BIOBÍO","","1","","1",1
"H","00 A 04","ALEMANIA",2021,12,"LA ARAUCANÍA","","1","","1",1
"H","00 A 04","ALEMANIA",2022,3,"ANTOFAGASTA","","2","","2",2
"H","00 A 04","ALEMANIA",2022,4,"ATACAMA","","1","","1",1
"H","00 A 04","ALEMANIA",2022,6,"VALPARAÍSO","","","1","1",1
"H","00 A 04","ALEMANIA",2022,7,"METROPOLITANA DE SANTIAGO","","","2","2",2
"H","00 A 04","ALEMANIA",2022,12,"LA ARAUCANÍA","","2","","2",2
"H","00 A 04","ARGENTINA",2018,1,"ARICA Y PARINACOTA","2","","","",2
"H","00 A 04","ARGENTINA",2018,2,"TARAPACÁ","7","5","","5",12
"H","00 A 04","ARGENTINA",2018,3,"ANTOFAGASTA","11","3","","3",14
"H","00 A 04","ARGENTINA",2018,4,"ATACAMA","6","1","","1",7
"H","00 A 04","ARGENTINA",2018,5,"COQUIMBO","7","7","","7",14
"H","00 A 04","ARGENTINA",2018,6,"VALPARAÍSO","63","13","","13",76
"H","00 A 04","ARGENTINA",2018,7,"METROPOLITANA DE SANTIAGO","239","38","","38",277
"H","00 A 04","ARGENTINA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","15","2","","2",17
"H","00 A 04","ARGENTINA",2018,9,"MAULE","8","4","","4",12
"H","00 A 04","ARGENTINA",2018,10,"ÑUBLE","1","","","",1
